gene, B cells_naive, Monocytes_CD14+, Monocytes_CD16+, NK cells, T cells_CD4+_memory TREG, T cells_CD4+_naive, T cells_CD4+_naive_stimulated, T cells_CD4+_naive TREG, T cells_CD4+_TFH, T cells_CD4+_Th1_17, T cells_CD4+_Th17, T cells_CD4+_Th1, T cells_CD4+_Th2, T cells_CD8+_naive, T cells_CD8+_naive_stimulated
A1BG,,,,,,,,,,,,,-3.579721878,-1.395942062,
A2M,,,,,,4.539526582,,,3.213814432,,,4.051605077,2.450580486,,
A2M-AS1,,,,-2.679875647,,,,,,,,,,,
AAK1,,,,-0.811466932,-3.734954989,,-3.007994836,-0.527649822,-1.794857945,-1.613083455,-2.704472961,,-1.520799646,-0.683537594,
AAMP,,,-2.016955063,,,,,,,,,,,,
AASDHPPT,,-3.008932894,,,,,,,,,,,,,
AATF,1.165237901,,,,,,,,1.53740902,,,1.411399284,,1.117644816,
ABAT,,,,,,,,,,2.825147793,,4.034162826,,,
ABCA1,,,,4.668772416,,5.462861555,3.113263131,7.197034232,,5.732052109,5.083415069,6.376339282,,4.701213976,
ABCA5,,,,,,1.560807898,,,1.678414443,,,,,2.016578479,
ABCB1,3.870389865,,,,,3.460123049,,,,1.910523958,,3.590841615,,3.250047754,
ABCB7,,,,,,1.568054013,,,2.136121879,,,2.273138773,,1.98213195,
ABCC1,3.129007592,,,,3.671360647,3.092919236,3.893213695,3.330985629,2.941548637,3.567716502,3.304307817,3.23425397,2.835823519,3.46427975,
ABCC3,,-4.644065298,,,,,,,,,,,,,
ABCC5,,-4.693436272,,,,,,,,,,,,,
ABCD2,,,,,,,,,,,,,,-2.118332992,
ABCD3,,,,,,1.64401841,,,,,,,,,
ABCE1,-0.7830378,-1.585691817,,,,,,,,,,,,,
ABCF1,1.385589751,,-1.448637783,,,1.048603906,,1.593748528,1.490398537,,1.346999449,1.810553207,1.314188007,1.080208391,
ABCG1,,,3.270462637,3.993149673,4.900272376,5.086550907,4.369061361,5.778416233,5.235959398,5.068252716,5.309339557,5.076307205,5.454437926,4.553291869,
ABHD11,,,-1.828949408,,,,,,,,,,,,
ABHD14B,,,,,,-1.672698519,,,,,,,-2.315626371,,
ABHD15-AS1,,,,,4.957379419,,,6.591927049,8.396704229,,,7.465603437,6.78001957,,
ABHD16A,,,-2.452818905,,,,,,,,,,,,
ABHD17A,-1.643638987,,-2.037518033,,-3.860460791,,,-1.740418637,,-2.394096109,,,-2.079724566,-1.126621497,
ABHD17B,,,,,3.488125914,,,,,,,,,,
ABHD18,,-1.972358786,-3.401902761,,,,,3.36635388,,,,3.359657332,2.882135073,2.324239912,
ABHD3,2.627690748,,,,,,,,,1.930721622,2.610297086,,,,
ABI1,1.564899172,,,,2.107542829,,,1.72845628,1.877730516,1.776800571,1.729448824,2.129040285,1.831953316,1.591094939,
ABI3,,,-2.296000425,,,,,,,,,,,,
ABL1,,,,,,,,,,3.564793374,,3.719666878,,,
ABL2,,,,,,1.928595904,,,,,,,,1.675038444,
ABLIM1,,-4.291873499,,,2.921830477,,,2.182509537,,,,,2.156357397,,
ABR,2.911473353,,,,,,,,,,,,,,
ABRACL,-1.390490533,-1.050781635,,-1.550248032,-2.990120879,-1.238856869,,-1.513077634,-1.243493469,-2.131124889,-2.54867972,-1.616310999,-1.905412811,-1.289065037,
ABRAXAS1,,,,,,-1.195453556,,,,,,,,,
ABT1,,,,,,0.872534977,,,,,,,,,
ABTB1,,,-1.250192018,,,,,,,,,,,,
AC002463.1,,,,-2.367314369,,-1.37772338,,,,,,,,-1.685338451,
AC004687.1,-1.759928919,-1.227288593,,,,,-2.701633035,,-2.149807295,,,-2.166382039,-2.261566539,,
AC004797.1,,,,,,,,,,,5.88898574,,,,
AC004854.2,,,,,,,,,,,,6.194183575,,,
AC005037.1,4.53293164,,,7.125238382,5.568731304,4.038652175,,4.55577038,5.681137981,6.475569165,5.48670519,6.943743578,4.238738082,6.876525174,
AC005237.1,,,-2.32505395,,,,,,,,,,,,
